x	y	z	vz
-994.606	-930.436	0.227	-10.081
-993.729	-929.778	-0.022	-10.095
-992.851	-929.118	-0.273	-10.108
-991.974	-928.457	-0.524	-10.122
-991.096	-927.795	-0.776	-10.135
-990.219	-927.132	-1.03	-10.148
-989.341	-926.467	-1.284	-10.162
-988.464	-925.801	-1.539	-10.175
-987.586	-925.134	-1.795	-10.188
-986.709	-924.465	-2.053	-10.201
-985.831	-923.795	-2.311	-10.215
-984.954	-923.124	-2.57	-10.228
-984.076	-922.452	-2.831	-10.241
-983.199	-921.779	-3.092	-10.254
-982.321	-921.104	-3.355	-10.268
-981.444	-920.428	-3.618	-10.281
-980.566	-919.751	-3.883	-10.294
-979.689	-919.072	-4.148	-10.307
-978.811	-918.392	-4.415	-10.32
-977.934	-917.711	-4.682	-10.333
-977.056	-917.029	-4.951	-10.346
-976.179	-916.345	-5.22	-10.359
-975.301	-915.661	-5.491	-10.372
-974.424	-914.975	-5.763	-10.385
-973.546	-914.287	-6.035	-10.398
-972.669	-913.599	-6.309	-10.411
-971.791	-912.909	-6.584	-10.424
-970.914	-912.218	-6.86	-10.437
-970.036	-911.525	-7.137	-10.45
-969.158	-910.832	-7.415	-10.463
-968.281	-910.137	-7.694	-10.476
-967.403	-909.441	-7.974	-10.488
-966.526	-908.744	-8.255	-10.501
-965.648	-908.045	-8.537	-10.514
-964.771	-907.345	-8.82	-10.527
-963.893	-906.644	-9.105	-10.539
-963.016	-905.942	-9.39	-10.552
-962.138	-905.238	-9.676	-10.565
-961.261	-904.533	-9.964	-10.577
-960.383	-903.827	-10.252	-10.59
-959.506	-903.12	-10.542	-10.602
-958.628	-902.411	-10.833	-10.615
-957.751	-901.701	-11.124	-10.628
-956.873	-900.99	-11.417	-10.64
-955.996	-900.278	-11.711	-10.652
-955.118	-899.564	-12.006	-10.665
-954.241	-898.849	-12.302	-10.677
-953.363	-898.133	-12.6	-10.69
-952.486	-897.416	-12.898	-10.702
-951.608	-896.697	-13.197	-10.714
-950.731	-895.977	-13.498	-10.726
-949.853	-895.256	-13.799	-10.739
-948.976	-894.533	-14.102	-10.751
-948.098	-893.81	-14.405	-10.763
-947.221	-893.085	-14.71	-10.775
-946.343	-892.359	-15.016	-10.787
-945.466	-891.631	-15.323	-10.799
-944.588	-890.902	-15.631	-10.811
-943.711	-890.173	-15.94	-10.823
-942.833	-889.441	-16.25	-10.835
-941.956	-888.709	-16.562	-10.847
-941.078	-887.975	-16.874	-10.859
-940.201	-887.24	-17.188	-10.871
-939.323	-886.504	-17.502	-10.883
-938.446	-885.767	-17.818	-10.894
-937.568	-885.028	-18.135	-10.906
-936.691	-884.288	-18.453	-10.918
-935.813	-883.547	-18.772	-10.929
-934.936	-882.804	-19.092	-10.941
-934.058	-882.06	-19.413	-10.953
-933.181	-881.315	-19.735	-10.964
-932.303	-880.569	-20.059	-10.975
-931.426	-879.822	-20.384	-10.987
-930.548	-879.073	-20.709	-10.998
-929.671	-878.323	-21.036	-11.01
-928.793	-877.572	-21.364	-11.021
-927.916	-876.819	-21.693	-11.032
-927.038	-876.065	-22.023	-11.043
-926.161	-875.31	-22.354	-11.055
-925.283	-874.554	-22.687	-11.066
-924.406	-873.796	-23.02	-11.077
-923.528	-873.038	-23.355	-11.088
-922.651	-872.278	-23.69	-11.099
-921.773	-871.516	-24.027	-11.11
-920.896	-870.754	-24.365	-11.121
-920.018	-869.99	-24.704	-11.131
-919.141	-869.225	-25.044	-11.142
-918.263	-868.458	-25.386	-11.153
-917.386	-867.691	-25.728	-11.164
-916.508	-866.922	-26.072	-11.174
-915.631	-866.152	-26.416	-11.185
-914.753	-865.381	-26.762	-11.195
-913.876	-864.608	-27.109	-11.206
-912.998	-863.834	-27.457	-11.216
-912.121	-863.059	-27.806	-11.227
-911.243	-862.283	-28.156	-11.237
