s_pc,x_pc,y_pc,z_pc
0.0,-994.606,-930.436,0.227
1.124,-993.729,-929.778,-0.022
2.251,-992.851,-929.118,-0.273
3.378,-991.974,-928.457,-0.524
4.506,-991.096,-927.795,-0.776
5.634,-990.219,-927.132,-1.03
6.764,-989.341,-926.467,-1.284
7.895,-988.464,-925.801,-1.539
9.027,-987.586,-925.134,-1.795
10.159,-986.709,-924.465,-2.053
11.294,-985.831,-923.795,-2.311
12.428,-984.954,-923.124,-2.57
13.564,-984.076,-922.452,-2.831
14.7,-983.199,-921.779,-3.092
15.838,-982.321,-921.104,-3.355
16.976,-981.444,-920.428,-3.618
18.116,-980.566,-919.751,-3.883
19.256,-979.689,-919.072,-4.148
20.399,-978.811,-918.392,-4.415
21.541,-977.934,-917.711,-4.682
22.684,-977.056,-917.029,-4.951
23.829,-976.179,-916.345,-5.22
24.974,-975.301,-915.661,-5.491
26.12,-974.424,-914.975,-5.763
27.269,-973.546,-914.287,-6.035
28.416,-972.669,-913.599,-6.309
29.566,-971.791,-912.909,-6.584
30.717,-970.914,-912.218,-6.86
31.869,-970.036,-911.525,-7.137
33.021,-969.158,-910.832,-7.415
34.175,-968.281,-910.137,-7.694
35.33,-967.403,-909.441,-7.974
36.484,-966.526,-908.744,-8.255
37.642,-965.648,-908.045,-8.537
38.799,-964.771,-907.345,-8.82
39.958,-963.893,-906.644,-9.105
41.117,-963.016,-905.942,-9.39
42.278,-962.138,-905.238,-9.676
43.44,-961.261,-904.533,-9.964
44.602,-960.383,-903.827,-10.252
45.766,-959.506,-903.12,-10.542
46.931,-958.628,-902.411,-10.833
48.096,-957.751,-901.701,-11.124
49.264,-956.873,-900.99,-11.417
50.431,-955.996,-900.278,-11.711
51.6,-955.118,-899.564,-12.006
52.77,-954.241,-898.849,-12.302
53.941,-953.363,-898.133,-12.6
55.113,-952.486,-897.416,-12.898
56.286,-951.608,-896.697,-13.197
57.46,-950.731,-895.977,-13.498
58.636,-949.853,-895.256,-13.799
59.812,-948.976,-894.533,-14.102
60.989,-948.098,-893.81,-14.405
62.167,-947.221,-893.085,-14.71
63.347,-946.343,-892.359,-15.016
64.527,-945.466,-891.631,-15.323
65.709,-944.588,-890.902,-15.631
66.891,-943.711,-890.173,-15.94
68.075,-942.833,-889.441,-16.25
69.259,-941.956,-888.709,-16.562
70.445,-941.078,-887.975,-16.874
71.632,-940.201,-887.24,-17.188
72.82,-939.323,-886.504,-17.502
74.008,-938.446,-885.767,-17.818
75.199,-937.568,-885.028,-18.135
76.389,-936.691,-884.288,-18.453
77.582,-935.813,-883.547,-18.772
78.775,-934.936,-882.804,-19.092
79.97,-934.058,-882.06,-19.413
81.165,-933.181,-881.315,-19.735
82.361,-932.303,-880.569,-20.059
83.558,-931.426,-879.822,-20.384
84.757,-930.548,-879.073,-20.709
85.957,-929.671,-878.323,-21.036
87.158,-928.793,-877.572,-21.364
88.36,-927.916,-876.819,-21.693
89.563,-927.038,-876.065,-22.023
90.767,-926.161,-875.31,-22.354
91.972,-925.283,-874.554,-22.687
93.178,-924.406,-873.796,-23.02
94.386,-923.528,-873.038,-23.355
95.594,-922.651,-872.278,-23.69
96.804,-921.773,-871.516,-24.027
98.014,-920.896,-870.754,-24.365
99.226,-920.018,-869.99,-24.704
100.439,-919.141,-869.225,-25.044
101.654,-918.263,-868.458,-25.386
102.868,-917.386,-867.691,-25.728
104.085,-916.508,-866.922,-26.072
105.301,-915.631,-866.152,-26.416
106.52,-914.753,-865.381,-26.762
